module,month,churn
inventory,2024-11,463
inventory,2024-12,512
inventory,2025-01,478
inventory,2025-02,490
inventory,2025-03,505
inventory,2025-04,520
inventory,2025-05,530
inventory,2025-06,540
inventory,2025-07,550
inventory,2025-08,560
inventory,2025-09,570
checkout,2024-12,12
checkout,2025-01,18
checkout,2025-02,25
checkout,2025-03,30
checkout,2025-04,35
checkout,2025-05,40
checkout,2025-06,45
checkout,2025-07,50
checkout,2025-08,55
checkout,2025-09,60
checkout,2025-10,65
shipping,2025-01,0
shipping,2025-02,7
shipping,2025-03,14
shipping,2025-04,21
shipping,2025-05,28
shipping,2025-06,35
shipping,2025-07,42
shipping,2025-08,49
shipping,2025-09,56
shipping,2025-10,63
payments,2025-02,166
payments,2025-03,180
payments,2025-04,155
payments,2025-05,170
payments,2025-06,185
payments,2025-07,200
payments,2025-08,215
payments,2025-09,230
payments,2025-10,245
payments,2025-11,260
catalog,2025-03,105
catalog,2025-04,120
catalog,2025-05,98
catalog,2025-06,110
catalog,2025-07,115
catalog,2025-08,120
catalog,2025-09,125
catalog,2025-10,130
catalog,2025-11,135
catalog,2025-12,140
analytics,2025-04,1029
analytics,2025-05,1100
analytics,2025-06,980
analytics,2025-07,1050
analytics,2025-08,1075
analytics,2025-09,1090
analytics,2025-10,1110
analytics,2025-11,1130
analytics,2025-12,1150
analytics,2026-01,1170
notifications,2025-05,44
notifications,2025-06,39
notifications,2025-07,51
notifications,2025-08,47
notifications,2025-09,53
notifications,2025-10,49
notifications,2025-11,55
notifications,2025-12,61
notifications,2026-01,57
notifications,2026-02,63
reviews,2025-06,36
reviews,2025-07,40
reviews,2025-08,33
reviews,2025-09,38
reviews,2025-10,43
reviews,2025-11,48
reviews,2025-12,53
reviews,2026-01,58
reviews,2026-02,63
reviews,2026-03,68
discounts,2025-07,42
discounts,2025-08,38
discounts,2025-09,45
discounts,2025-10,50
discounts,2025-11,55
discounts,2025-12,60
discounts,2026-01,65
discounts,2026-02,70
discounts,2026-03,75
discounts,2026-04,80
returns,2025-08,74
returns,2025-09,80
returns,2025-10,65
returns,2025-11,70
returns,2025-12,75
returns,2026-01,80
returns,2026-02,85
returns,2026-03,90
returns,2026-04,95
returns,2026-05,100
support,2025-09,1920
support,2025-10,1850
support,2025-11,2000
support,2025-12,1950
support,2026-01,1980
support,2026-02,2010
support,2026-03,2040
support,2026-04,2070
support,2026-05,2100
support,2026-06,2130
profile,2025-10,559
profile,2025-11,600
profile,2025-12,580
profile,2026-01,590
profile,2026-02,600
profile,2026-03,610
profile,2026-04,620
profile,2026-05,630
profile,2026-06,640
profile,2026-07,650
search,2024-11,1465
search,2024-12,1500
search,2025-01,1400
search,2025-02,1420
search,2025-03,1440
search,2025-04,1460
search,2025-05,1480
search,2025-06,1500
search,2025-07,1520
search,2025-08,1540
recommendations,2024-12,2
recommendations,2025-01,5
recommendations,2025-02,3
recommendations,2025-03,4
recommendations,2025-04,6
recommendations,2025-05,8
recommendations,2025-06,10
recommendations,2025-07,12
recommendations,2025-08,14
recommendations,2025-09,16
settings,2025-01,17
settings,2025-02,20
settings,2025-03,15
settings,2025-04,18
settings,2025-05,21
settings,2025-06,24
settings,2025-07,27
settings,2025-08,30
settings,2025-09,33
settings,2025-10,36
dashboard,2025-02,6
dashboard,2025-03,8
dashboard,2025-04,10
dashboard,2025-05,12
dashboard,2025-06,14
dashboard,2025-07,16
dashboard,2025-08,18
dashboard,2025-09,20
dashboard,2025-10,22
dashboard,2025-11,24
api,2025-03,22
api,2025-04,25
api,2025-05,20
api,2025-06,23
api,2025-07,26
api,2025-08,29
api,2025-09,32
api,2025-10,35
api,2025-11,38
api,2025-12,41
auth,2025-04,1500
auth,2025-05,1400
auth,2025-06,1550
auth,2025-07,1600
auth,2025-08,1650
auth,2025-09,1700
auth,2025-10,1750
auth,2025-11,1800
auth,2025-12,1850
auth,2026-01,1900
logs,2025-05,5
logs,2025-06,7
logs,2025-07,6
logs,2025-08,8
logs,2025-09,10
logs,2025-10,12
logs,2025-11,14
logs,2025-12,16
logs,2026-01,18
logs,2026-02,20
billing,2025-06,14
billing,2025-07,18
billing,2025-08,15
billing,2025-09,17
billing,2025-10,19
billing,2025-11,21
billing,2025-12,23
billing,2026-01,25
billing,2026-02,27
billing,2026-03,29
reporting,2025-07,19
reporting,2025-08,22
reporting,2025-09,20
reporting,2025-10,23
reporting,2025-11,26
reporting,2025-12,29
reporting,2026-01,32
reporting,2026-02,35
reporting,2026-03,38
reporting,2026-04,41
